2699,6107,9965,1036,2924,3786,4573,1087,617,76.827,769,1828.2,381,933,32673,1
7.5992e+05,6480,5.8866e+05,5.2811e+05,1.1887e+06,1.694e+05,1.7489e+05,10210,6566,21101,2.1121e+05,4.2874e+05,82487,68882,3.7703e+06,1
1.2908e+05,729,72972,3310,73909,34,44928,32995,409,502,15599,57902,20800,12168,4.2325e+05,1
57828,1449.8,27634,1739,39274,1838.3,9854,1900,321,228.98,2291.9,7696,4609,7823,1.4583e+05,1
1021,14222,3186,35,4776,29645,9295,3245,493,215,4932,20818,891,3661,87600,1
1.4956e+05,93281,2.118e+05,7950,1.513e+05,16933,32142,2020,880,3106,17057,1.3795e+05,12992,22517,7.9209e+05,1
1.6321e+06,1.4116e+06,5.608e+05,1.1862e+06,2.4319e+06,233,1.3966e+06,7228,6703,2.2294e+05,2.7148e+05,2.1884e+06,1.4451e+05,3.1939e+05,1.0538e+07,1
622,3891,1340,1568.4,353,3525,6551,4833,45,646.62,232,126,500,1616,24084,1
2.1226e+05,15952,13111,46827,98655,62562,38205,5945,649,7792.8,13974,76116,3269,28205,5.6663e+05,1
13816,2450.9,37724,3380,76066,3107.6,20247,1906,202,387.08,3874.5,19030,6498,4355,1.7303e+05,1
6622,3388,1778,1382.9,1033,27195,1636,6390,4,570.14,25,3042,381,1213,46103,1
6020,8472,26240,783,15488,6339,7169,3052,416.24,743.88,7445.9,4746,3367,4406,86803,1
2.2014e+05,76751,27940,3234.1,2.8213e+05,19514,77979,3898.3,1878.1,1894.5,1.0919e+05,6573.5,10365,26928,8.0348e+05,1
4.0624e+05,41923,53570,33365,1.6736e+05,4812,37906,5806,221,3091,1.3581e+05,9549,20786,12260,8.1424e+05,1
3.1592e+05,17632,9.6818e+05,13532,5.3123e+05,4844.2,1.4739e+05,7.5125e+05,7764.5,4182.6,19178,1.7851e+06,1.5351e+05,61422,4.4255e+06,1
3.5232e+05,38359,1.7416e+05,14894,2.3338e+05,3502,78730,19257,1140,1102,43923,1.8682e+05,20178,29845,1.0913e+06,1
16244,1069,24832,2778.3,1.1454e+05,9196.1,76880,2694,173,1145.5,11466,13298,1470,4029,2.4048e+05,1
24007,179,40672,9259,59050,40154,31939,2679,388,2501,4950,44280,8221,4014,2.4967e+05,1
5.4065e+05,427,1.9534e+05,2.2117e+05,8.448e+05,56203,1.5147e+05,1800,3933,7464,70072,3.1973e+05,28588,33113,2.2052e+06,1
1.8026e+05,5467,18718,17269,83944,6931.8,2.4373e+05,85,5,863.43,2984,20546,1984,11936,5.3621e+05,1
78780,8968.7,1.2789e+05,1.4908e+05,2.129e+05,11372,18346,49908,94,1416.5,45756,1.3129e+05,33272,8900,7.9229e+05,1
6.498e+05,44174,2.0628e+06,1.8039e+05,1.4536e+06,4676.5,8.6713e+05,31504,2704.7,4064.9,21406,70721,40346,95300,4.944e+06,1
2.3897e+05,94974,2.248e+05,3.5126e+05,2.9056e+05,1.2042e+05,2.4526e+05,2758,1804,15000,22984,5.5258e+05,22156,22237,2.0608e+06,1
7331,10.849,5355,2187,9127,62,1268,1025,4,498,17.151,4289,551,763,29865,1
1.3432e+05,1162.1,59923,8828,1.0831e+05,1473.4,11841,2486,123,183.53,8636,27954,20808,4245,3.5589e+05,1
2.6263e+05,12006,1.62e+05,11177,1.6698e+05,1264,49853,44305,2132.3,1623.9,6401.3,1.3301e+05,19900,6005,7.9148e+05,1
1.8735e+06,37391,2.9322e+05,95253,1.0412e+06,13380,2.4579e+05,40066,4043.5,10236,3758.4,99243,17563,99101,3.523e+06,1
863,4265,4537,83,3370,3033,1856,1370,1754,285,359,13194,532,882,34327,1
61363,1691,69612,7682,1.0912e+05,126,38082,12140,155,600,10215,52544,10066,7715,3.539e+05,1
1.1736e+05,4578.1,66076,1371,17952,5804.8,7065,1714,2,723.05,179,5835,4942,2142,2.1464e+05,1
2893,934,6211,495,8140,121,6093,2970,10,818.93,8197.1,12404,3969,2110,51205,1
19883,424.03,37464,12713,47816,537.64,37935,2463,145,2180,670.33,30130,5222,5485,1.8901e+05,1
1.8194e+05,28048,71780,3300,1.1852e+05,8350,53253,8092,1420,5628,36425,1.3527e+05,13576,24305,6.2953e+05,1
7129,772.4,13548,607,8798,979.35,41,169,68.259,121.99,460,5605,765,1258,36089,1
1.4314e+05,16694,2.3709e+05,10089,3.1332e+05,24967,68620,61117,1740.1,3697,6190,1.5242e+05,26802,37477,1.0152e+06,1
1279,3441,9612,4733.5,11178,2443,5996,3506,57,1951.5,1016,1940,1288,1502,45670,1
2.9217e+05,78282,49608,66279,5.2872e+05,70719,3.0533e+05,1.0482e+05,67578,6404.1,1.6659e+05,2.2881e+05,55961,60902,1.9237e+06,1
1040,264,6045,153.49,4819,335,12602,2162,35.409,63.281,600,1505.8,433,1314,28716,1
25842,217.73,59105,9408,67235,276.07,21132,7205,198,100,344.2,12266,1635,4476,1.8958e+05,1
7046.1,1147.4,4157.9,295.62,9505,2793.1,17847,1973,30.581,55.499,203.87,6302,1196.1,2441,52123,1
1.1452e+05,3514.3,2824,34131,1.2827e+05,4456,7459,4877,56,555.04,5555.6,67352,2919,6319,3.4023e+05,1
6747,15105,14813,2847,21907,11521,7920,3618,129.23,267,18688,5495.8,53,1579,1.0176e+05,1
11099,552,5768,975,8403,3199,244,786,222.97,28,4350,1015,788,1841,32968,1
10690,7223,16029,4145,22208,1677,6842,935,4588.9,8201.1,2501,7395,4875,3323,89596,1
7030,4721,7566,390,7719,4742,5697,725,4367,24,7319,35937,542,8232,86394,1
9.956e+05,5675,2.7425e+05,37769,9.8752e+05,7581.3,3.6261e+05,50791,8180.6,1140.8,1.1124e+05,4.2196e+05,70957,84709,3.0205e+06,1
989,1798.3,9038,783,12339,2280.1,3938,2184,158.92,284.01,2842.8,13007,1198,1984,51634,1
17970,3576,14618,1046,17388,1601,22966,4720,204,6946,808,25627,2235,2377,1.1206e+05,1
3.6331e+06,1.6774e+05,17573,6.7771e+05,7132,2.1269e+05,41320,1927,14824,42,2.6517e+05,3.6183e+06,26872,76707,7.8227e+06,1
19393,5363,1.881e+05,9877,57606,6799.9,21586,5557,192,847,8478.1,28895,5423,8109,3.4021e+05,1
4.6262e+05,794,40432,48118,3.214e+05,3405.2,34245,858,1045,424.16,4245.6,1.662e+05,2229,8420,9.5875e+05,1
9.5664e+05,7330,5.0872e+05,28676,4.8352e+05,2641,40922,10130,5606,2469,60938,4.2421e+05,65673,28354,2.4681e+06,1
1.759e+05,3385,56896,17940,62046,133,18960,15631,34565,1403,2689,89890,15742,18196,4.6241e+05,1
3.1386e+05,987,72716,11108,1.2491e+05,49,72056,3993,78,8968.7,89772,1.4991e+05,31422,26744,8.4419e+05,1
1.5518e+06,11960,2.1872e+06,32091,3.9671e+05,7129.4,1.4146e+05,2.1309e+05,1.4095e+05,13907,3.7272e+05,3.6822e+05,49941,2.1528e+05,5.1317e+06,1
24175,12417,58646,17885,68762,10712,17203,7430.3,37.184,1102.4,26.248,2.1913e+05,6151.8,9644,4.0075e+05,1
33391,2137,1.313e+05,818.63,95343,2709.6,18518,9489,4520,337.51,3378.3,18427,22349,6159,3.2042e+05,1
14764,3704,33297,5768.3,29912,10894,13768,13623,1330.7,207,23729,849,4578,9545,1.5429e+05,1
1.1369e+05,316,97226,622.78,17053,2061.4,6526,1703,675,256.77,2570.1,14144,9693,3089,2.4837e+05,1
72326,2612,66535,2482,24727,201,18658,11966,362,109,2620,8185,5656,3708,2.0923e+05,1
29856,2169,706,5456,53430,4574,44101,604,2964.2,1169,53025,3.2517e+05,3142,4466,4.9165e+05,1
30486,1479.8,25456,566.87,28894,1876.3,4185,4434,64,233.71,2339.3,8523,6488,6221,1.0736e+05,1
8191,1573,8344,9756,25983,2224,1945,5304,74.384,85,1330.6,8499,725,1633,65515,1
17894,4341.4,36541,2949.6,40749,10416,22640,3668.4,27.686,165.05,4496.9,11441,5790.6,4923,1.5285e+05,1
85572,1358,34877,10786,25103,2351.4,22834,6632,1288,292.89,2931.7,10590,255,5347,1.9171e+05,1
1.5051e+05,386,25072,1011,94818,5382.8,53154,8628,4534,3662,6711.2,54114,9870,7184,3.9142e+05,1
19312,78438,24239,1769,64345,12541,64177,3816,39,172.31,1724.7,47453,6594,12391,3.0939e+05,1
16537,812,39794,386,15278,4684.9,5478,2879,326.53,583.55,5841,2407,1509,1942,90010,1
1.004e+06,2890,17677,59220,1.7361e+05,555,2.3471e+05,8348,920,7181.9,71887,1.706e+05,5231,22789,1.6155e+06,1
